Code,Department Name,Undergrad Courses,Quality,Difficulty,Workload
AMES,AMES041.16: Soundscapes of the Middle East,,"INT, NW, ART",0,0,Signup to reveal
AMES,AMES041.17: Mideast Landscapes,,"INT, NW, LIT",0,0,Signup to reveal
AMES,AMES041.18: Intro to Mid East Studies,,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES041.19: Ident & Represen in Mideast,,"INT, NW, LIT",0,0,Signup to reveal
AMES,AMES041.20: Energy & Society of Mid Eas,,"INT, NW",0,0,Signup to reveal
AMES,AMES042.01: Modern Hinduism,,,0,0,Signup to reveal
AMES,AMES042.10: Arts of South Asia,,,0,0,Signup to reveal
AMES,"AMES042.11: Food and Religion in South Asia: The Raw, the Cooked, and the Leftovers",,,0,0,Signup to reveal
AMES,AMES042.12: Music and Dance of North India,,"NW, ART",0,0,Signup to reveal
AMES,"AMES042.13: Art and Industry: The Visual and Material Culture of South Asia, 1800 to present",,,0,0,Signup to reveal
AMES,AMES042.14: Political Economy of Development in Colonial and Postcolonial South Asia,,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES042.15: Ethnic Identities in Modern South Asia,,"INT, SOC, NW",1,1,Signup to reveal
AMES,AMES042.16: The City in Modern South Asia,,"SOC, NW",0,0,Signup to reveal
AMES,AMES042.17: Partition in South Asia,,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES043.01: Environment and Development in the Himalaya and Tibet,,,0,0,Signup to reveal
AMES,AMES043.03: Tokyo and Shanghai as Ideas: Urban Space/Imagined Modernity,,"INT, NW, LIT",0,1,Signup to reveal
AMES,AMES043.04: Politics of Japan,,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES043.06: China in the Japanese Imagination: Translations of Identity,,,0,0,Signup to reveal
AMES,AMES043.08: Food and Beverages in Asia,,,0,0,Signup to reveal
AMES,AMES043.09: Krieger's VirtualGirlfriend,,"NW, ART",0,1,Signup to reveal
AMES,"AMES043.10: Disability, Disease, and Medicine in Japan and the Modern World",,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES045: The Music of Central Asia,,"NW, ART",0,1,Signup to reveal
AMES,AMES053: Discovering an Islamic City,,"SOC, NW",0,0,Signup to reveal
AMES,AMES054: Arabic as a Cultural System,,NW,1,1,Signup to reveal
AMES,"AMES055.01: Religion, Reason and Reform in Morocco",,,0,0,Signup to reveal
AMES,AMES055.02: Topics in the Study of Islam,,"NW, TMV",0,0,Signup to reveal
AMES,AMES055.03: Political Economy of Development in the Middle East,,,0,0,Signup to reveal
AMES,AMES055.04: Politics&Developmnt;:Morocco,,,0,0,Signup to reveal
AMES,AMES085: Independent Research,,,0,0,Signup to reveal
AMES,AMES086: Advanced Independent Research,,,0,0,Signup to reveal
AMES,AMES087: Honors Thesis,,,0,0,Signup to reveal
AMES,AMES091.01: Colonial Photography in Asia and the Middle East,,"INT, ART, CI",0,0,Signup to reveal
AMES,"AMES091.02: Dilemmas of Development: India, China, and the Middle East",,"INT, SOC, NW",0,0,Signup to reveal
AMES,AMES091: Senior Seminar: Research Topics in Asian and Middle Eastern Studies,,,7,2,Signup to reveal
ANTH,ANTH003: Introduction to Cultural Anthropology,,"INT, SOC, NW",104,52,Signup to reveal
ANTH,ANTH004: Peoples and Cultures of Native North America,,"SOC, NW",17,4,Signup to reveal
ANTH,ANTH005: Reconstructing the Past: Introduction to Archaeology,,SOC,18,7,Signup to reveal
ANTH,ANTH006: Introduction to Biological Anthropology,,SCI,142,96,Signup to reveal
ANTH,ANTH007.02: The Values of Medicine,,"INT, SOC",4,5,Signup to reveal
ANTH,ANTH007.05: Animals and Humans,,TMV,3,0,Signup to reveal
ANTH,ANTH007.06: Haiti and Its Visitors,,"INT, CI",2,3,Signup to reveal
ANTH,ANTH007: First-Year Seminars in Anthropology,,,19,2,Signup to reveal
ANTH,ANTH008: The Rise and Fall of Prehistoric Civilizations,,"INT, SOC, NW",55,7,Signup to reveal
ANTH,ANTH009: Language and Culture,,SOC,21,25,Signup to reveal
ANTH,ANTH011: Ancient Native Americans,,"SOC, NW",14,1,Signup to reveal
ANTH,ANTH012.01: Ethnographic Film,,"INT, SOC, NW",1,0,Signup to reveal
ANTH,ANTH012.02: The Archaeology of the Ancient Near East,,,0,0,Signup to reveal
ANTH,ANTH012.03: The Ethnography of Violence,,,0,1,Signup to reveal
ANTH,ANTH012.04: Your Inner Chimpanzee,,SCI,3,8,Signup to reveal
ANTH,ANTH012.05: Death and the Afterlife in the Ancient Near East and Egypt,,,0,0,Signup to reveal
ANTH,"ANTH012.08: Mummies, Myth, and Magic: Eternal Life in Ancient Egypt",,,0,0,Signup to reveal
ANTH,ANTH012.10: Jews and Arabs: Entangled Histories,,"SOC, CI",0,0,Signup to reveal
ANTH,ANTH012.11: Arctic Crossroads,,"INT, NW",0,0,Signup to reveal
ANTH,"ANTH012.12: Language, Landscape, and Identity in Native North America The voices of Time Immemorial",,"TMV, CI",0,0,Signup to reveal
ANTH,ANTH012.13: Moving House in Prehistory,,,0,0,Signup to reveal
ANTH,ANTH012.14: African Popular Culture,,"SOC, NW",1,2,Signup to reveal
ANTH,ANTH012.15: Religion And Imperialism,,CI,0,1,Signup to reveal
ANTH,ANTH012.16: Modern Islamic Politics: From the Muslim Brotherhood to the Islamic State,,,0,0,Signup to reveal
ANTH,"ANTH012.17: Tombs, Pits, and Pyres: Archaeology of Death",,"INT, SOC, CI",0,0,Signup to reveal
ANTH,ANTH012.18: Anthropology and the Forensic Sciences,,SCI,0,5,Signup to reveal
ANTH,ANTH012.19: Crossing Over: Latino Roots and Transitions,,"SOC, CI",0,2,Signup to reveal
ANTH,ANTH012.21: The Politics of Latin@ Ethnography,,"SOC, CI",0,0,Signup to reveal
ANTH,"ANTH012.22: The Culture, Science, and Practice of Wellness",,"SOC, W",0,0,Signup to reveal
ANTH,ANTH012.23: Introduction to African Studies,,"SOC, NW",0,0,Signup to reveal
ANTH,ANTH012.24: Africa's Time? An Interdisciplinary Survey of Temporality and Power,,"SOC, NW",0,1,Signup to reveal
ANTH,ANTH012.25: Anthropology of Mid East,,"SOC, NW",0,0,Signup to reveal
ANTH,ANTH012.26: Environmental Justice,,SOC,0,6,Signup to reveal
ANTH,ANTH012: Anthro Gateway Courses,,,0,0,Signup to reveal
ANTH,ANTH013: Who Owns the Past?,,"SOC, CI",13,3,Signup to reveal
ANTH,ANTH014: Death and Dying,,"INT, SOC",13,10,Signup to reveal
ANTH,ANTH015: Political Anthropology,,"INT, SOC, NW",10,0,Signup to reveal
ANTH,"ANTH016: Secrecy and Lying in Politics, Law and Society",,,6,1,Signup to reveal
ANTH,ANTH017: The Anthropology of Health and Illness,,"INT, SOC",33,13,Signup to reveal
ANTH,ANTH018: Research Methods in Cultural Anthropology,,SOC,7,4,Signup to reveal
